39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
11:25:17.0 (407082)|USER_INFO|[EXTERNAL]|0059E000000SwHR|services@lightful.com|Greenwich Mean Time|GMTZ
11:25:17.0 (439038)|EXECUTION_STARTED
11:25:17.0 (447163)|CODE_UNIT_STARTED|[EXTERNAL]|0669E000000ClwB|VF: /apex/MasonaryTest
11:25:17.4 (4862784)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex <init>
11:25:17.4 (4884700)|SYSTEM_MODE_ENTER|true
11:25:17.4 (5001575)|HEAP_ALLOCATE|[72]|Bytes:3
11:25:17.4 (5045985)|HEAP_ALLOCATE|[77]|Bytes:152
11:25:17.4 (5063991)|HEAP_ALLOCATE|[342]|Bytes:408
11:25:17.4 (5084846)|HEAP_ALLOCATE|[355]|Bytes:408
11:25:17.4 (5103196)|HEAP_ALLOCATE|[467]|Bytes:48
11:25:17.5 (5405768)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape,null)
11:25:17.5 (5414898)|SYSTEM_MODE_ENTER|true
11:25:17.5 (5423826)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape,null)
11:25:17.5 (5441585)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
11:25:17.5 (5467410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:25:17.5 (5473832)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
11:25:17.5 (5505524)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x3a746f24
11:25:17.5 (5509038)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
11:25:17.5 (5513815)|VARIABLE_ASSIGNMENT|[88]|escape|null
11:25:17.5 (5698543)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
11:25:17.5 (5710554)|SYSTEM_MODE_ENTER|true
11:25:17.5 (5726496)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
11:25:17.5 (5749902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:25:17.5 (5756453)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
11:25:17.5 (5777012)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x3a746f24
11:25:17.0 (6990695)|VF_APEX_CALL_START|[EXTERNAL]|01p9E000000DUzG|CommunityHowToGuidesController <init>
11:25:17.0 (6998402)|SYSTEM_MODE_ENTER|true
11:25:17.0 (7232738)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1284
11:25:17.0 (7244488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:282
11:25:17.0 (7248941)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:83
11:25:17.0 (7261350)|METHOD_ENTRY|[1]|01p9E000000DUzG|CommunityHowToGuidesController.CommunityHowToGuidesController()
11:25:17.0 (7266098)|STATEMENT_EXECUTE|[1]
11:25:17.0 (7271405)|STATEMENT_EXECUTE|[1]
11:25:17.0 (7277250)|METHOD_EXIT|[1]|CommunityHowToGuidesController
11:25:17.0 (7585346)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:260
11:25:17.0 (7596105)|VARIABLE_SCOPE_BEGIN|[85]|this|CommunityHowToGuidesController|true|false
11:25:17.0 (7809511)|VARIABLE_ASSIGNMENT|[85]|this|{}|0x5ef69c93
11:25:17.0 (7816690)|STATEMENT_EXECUTE|[1]
11:25:17.0 (7818378)|STATEMENT_EXECUTE|[4]
11:25:17.0 (7819508)|STATEMENT_EXECUTE|[5]
11:25:17.0 (7820594)|STATEMENT_EXECUTE|[6]
11:25:17.0 (7821582)|STATEMENT_EXECUTE|[7]
11:25:17.0 (7822528)|STATEMENT_EXECUTE|[9]
11:25:17.0 (7823400)|STATEMENT_EXECUTE|[11]
11:25:17.0 (7824599)|STATEMENT_EXECUTE|[12]
11:25:17.0 (7825706)|STATEMENT_EXECUTE|[14]
11:25:17.0 (7826931)|STATEMENT_EXECUTE|[15]
11:25:17.0 (7827957)|STATEMENT_EXECUTE|[16]
11:25:17.0 (7828847)|STATEMENT_EXECUTE|[17]
11:25:17.0 (7829856)|STATEMENT_EXECUTE|[18]
11:25:17.0 (7830928)|STATEMENT_EXECUTE|[19]
11:25:17.0 (7831813)|STATEMENT_EXECUTE|[20]
11:25:17.0 (7832683)|STATEMENT_EXECUTE|[21]
11:25:17.0 (7833632)|STATEMENT_EXECUTE|[23]
11:25:17.0 (7834595)|STATEMENT_EXECUTE|[24]
11:25:17.0 (7835553)|STATEMENT_EXECUTE|[26]
11:25:17.0 (7836678)|STATEMENT_EXECUTE|[27]
11:25:17.0 (7837774)|STATEMENT_EXECUTE|[28]
11:25:17.0 (7838761)|STATEMENT_EXECUTE|[30]
11:25:17.0 (7839861)|STATEMENT_EXECUTE|[31]
11:25:17.0 (7840882)|STATEMENT_EXECUTE|[33]
11:25:17.0 (7841847)|STATEMENT_EXECUTE|[34]
11:25:17.0 (7842889)|STATEMENT_EXECUTE|[35]
11:25:17.0 (7843843)|STATEMENT_EXECUTE|[36]
11:25:17.0 (7844858)|STATEMENT_EXECUTE|[37]
11:25:17.0 (7845810)|STATEMENT_EXECUTE|[38]
11:25:17.0 (7846771)|STATEMENT_EXECUTE|[42]
11:25:17.0 (7847726)|STATEMENT_EXECUTE|[43]
11:25:17.0 (7848676)|STATEMENT_EXECUTE|[44]
11:25:17.0 (7849635)|STATEMENT_EXECUTE|[46]
11:25:17.0 (7850592)|STATEMENT_EXECUTE|[47]
11:25:17.0 (7851475)|STATEMENT_EXECUTE|[48]
11:25:17.0 (7852526)|STATEMENT_EXECUTE|[50]
11:25:17.0 (7853527)|STATEMENT_EXECUTE|[51]
11:25:17.0 (7854409)|STATEMENT_EXECUTE|[52]
